Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
21 Creative arts and design,All,All,Northern Ireland,Total,2019/20,580
21 Creative arts and design,All,Full-time,Northern Ireland,Female,2019/20,375
21 Creative arts and design,All,Full-time,Northern Ireland,Male,2019/20,180
21 Creative arts and design,All,Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All,Full-time,Northern Ireland,Total,2019/20,555
21 Creative arts and design,All,Part-time,Northern Ireland,Female,2019/20,20
21 Creative arts and design,All,Part-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,All,Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All,Part-time,Northern Ireland,Total,2019/20,25
21 Creative arts and design,All,All,Scotland,Female,2019/20,2500
21 Creative arts and design,All,All,Scotland,Male,2019/20,1210
21 Creative arts and design,All,All,Scotland,Other,2019/20,20
21 Creative arts and design,All,All,Scotland,Total,2019/20,3730
21 Creative arts and design,All,Full-time,Scotland,Female,2019/20,2425
21 Creative arts and design,All,Full-time,Scotland,Male,2019/20,1150
21 Creative arts and design,All,Full-time,Scotland,Other,2019/20,20
21 Creative arts and design,All,Full-time,Scotland,Total,2019/20,3600
21 Creative arts and design,All,Part-time,Scotland,Female,2019/20,75
21 Creative arts and design,All,Part-time,Scotland,Male,2019/20,60
21 Creative arts and design,All,Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,All,Part-time,Scotland,Total,2019/20,130
21 Creative arts and design,All,All,Wales,Female,2019/20,1605
21 Creative arts and design,All,All,Wales,Male,2019/20,1025
21 Creative arts and design,All,All,Wales,Other,2019/20,10
21 Creative arts and design,All,All,Wales,Total,2019/20,2645
21 Creative arts and design,All,Full-time,Wales,Female,2019/20,1475
21 Creative arts and design,All,Full-time,Wales,Male,2019/20,970
21 Creative arts and design,All,Full-time,Wales,Other,2019/20,10
21 Creative arts and design,All,Full-time,Wales,Total,2019/20,2455
21 Creative arts and design,All,Part-time,Wales,Female,2019/20,130
21 Creative arts and design,All,Part-time,Wales,Male,2019/20,55
21 Creative arts and design,All,Part-time,Wales,Other,2019/20,5
21 Creative arts and design,All,Part-time,Wales,Total,2019/20,190
21 Creative arts and design,Postgraduate (research),All,All,Female,2019/20,375
21 Creative arts and design,Postgraduate (research),All,All,Male,2019/20,355
21 Creative arts and design,Postgraduate (research),All,All,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),All,All,Total,2019/20,730
21 Creative arts and design,Postgraduate (research),Full-time,All,Female,2019/20,270
21 Creative arts and design,Postgraduate (research),Full-time,All,Male,2019/20,255
21 Creative arts and design,Postgraduate (research),Full-time,All,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,All,Total,2019/20,525
21 Creative arts and design,Postgraduate (research),Part-time,All,Female,2019/20,105
21 Creative arts and design,Postgraduate (research),Part-time,All,Male,2019/20,100
21 Creative arts and design,Postgraduate (research),Part-time,All,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,All,Total,2019/20,205
21 Creative arts and design,Postgraduate (research),All,England,Female,2019/20,320
21 Creative arts and design,Postgraduate (research),All,England,Male,2019/20,310
21 Creative arts and design,Postgraduate (research),All,England,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),All,England,Total,2019/20,630
21 Creative arts and design,Postgraduate (research),Full-time,England,Female,2019/20,230
21 Creative arts and design,Postgraduate (research),Full-time,England,Male,2019/20,220
21 Creative arts and design,Postgraduate (research),Full-time,England,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,England,Total,2019/20,445
21 Creative arts and design,Postgraduate (research),Part-time,England,Female,2019/20,95
21 Creative arts and design,Postgraduate (research),Part-time,England,Male,2019/20,90
21 Creative arts and design,Postgraduate (research),Part-time,England,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,England,Total,2019/20,185
21 Creative arts and design,Postgraduate (research),All,Northern Ireland,Female,2019/20,5
21 Creative arts and design,Postgraduate (research),All,Northern Ireland,Male,2019/20,5
21 Creative arts and design,Postgraduate (research),All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),All,Northern Ireland,Total,2019/20,5
21 Creative arts and design,Postgraduate (research),Full-time,Northern Ireland,Female,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,Postgraduate (research),Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,Northern Ireland,Total,2019/20,5
21 Creative arts and design,Postgraduate (research),Part-time,Northern Ireland,Female,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,Northern Ireland,Male,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,Northern Ireland,Total,2019/20,0
21 Creative arts and design,Postgraduate (research),All,Scotland,Female,2019/20,35
21 Creative arts and design,Postgraduate (research),All,Scotland,Male,2019/20,25
21 Creative arts and design,Postgraduate (research),All,Scotland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),All,Scotland,Total,2019/20,60
21 Creative arts and design,Postgraduate (research),Full-time,Scotland,Female,2019/20,30
21 Creative arts and design,Postgraduate (research),Full-time,Scotland,Male,2019/20,20
21 Creative arts and design,Postgraduate (research),Full-time,Scotland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,Scotland,Total,2019/20,50
21 Creative arts and design,Postgraduate (research),Part-time,Scotland,Female,2019/20,5
21 Creative arts and design,Postgraduate (research),Part-time,Scotland,Male,2019/20,5
21 Creative arts and design,Postgraduate (research),Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,Scotland,Total,2019/20,10
21 Creative arts and design,Postgraduate (research),All,Wales,Female,2019/20,15
21 Creative arts and design,Postgraduate (research),All,Wales,Male,2019/20,15
21 Creative arts and design,Postgraduate (research),All,Wales,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),All,Wales,Total,2019/20,30
21 Creative arts and design,Postgraduate (research),Full-time,Wales,Female,2019/20,10
21 Creative arts and design,Postgraduate (research),Full-time,Wales,Male,2019/20,10
21 Creative arts and design,Postgraduate (research),Full-time,Wales,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Full-time,Wales,Total,2019/20,20
21 Creative arts and design,Postgraduate (research),Part-time,Wales,Female,2019/20,5
21 Creative arts and design,Postgraduate (research),Part-time,Wales,Male,2019/20,5
21 Creative arts and design,Postgraduate (research),Part-time,Wales,Other,2019/20,0
21 Creative arts and design,Postgraduate (research),Part-time,Wales,Total,2019/20,10
21 Creative arts and design,Postgraduate (taught),All,All,Female,2019/20,8900
21 Creative arts and design,Postgraduate (taught),All,All,Male,2019/20,4300
21 Creative arts and design,Postgraduate (taught),All,All,Other,2019/20,50
21 Creative arts and design,Postgraduate (taught),All,All,Total,2019/20,13250
21 Creative arts and design,Postgraduate (taught),Full-time,All,Female,2019/20,7610
21 Creative arts and design,Postgraduate (taught),Full-time,All,Male,2019/20,3565
21 Creative arts and design,Postgraduate (taught),Full-time,All,Other,2019/20,40
21 Creative arts and design,Postgraduate (taught),Full-time,All,Total,2019/20,11220
21 Creative arts and design,Postgraduate (taught),Part-time,All,Female,2019/20,1290
21 Creative arts and design,Postgraduate (taught),Part-time,All,Male,2019/20,735
21 Creative arts and design,Postgraduate (taught),Part-time,All,Other,2019/20,10
21 Creative arts and design,Postgraduate (taught),Part-time,All,Total,2019/20,2030
21 Creative arts and design,Postgraduate (taught),All,England,Female,2019/20,7845
21 Creative arts and design,Postgraduate (taught),All,England,Male,2019/20,3765
21 Creative arts and design,Postgraduate (taught),All,England,Other,2019/20,40
21 Creative arts and design,Postgraduate (taught),All,England,Total,2019/20,11650
21 Creative arts and design,Postgraduate (taught),Full-time,England,Female,2019/20,6710
21 Creative arts and design,Postgraduate (taught),Full-time,England,Male,2019/20,3100
21 Creative arts and design,Postgraduate (taught),Full-time,England,Other,2019/20,35
21 Creative arts and design,Postgraduate (taught),Full-time,England,Total,2019/20,9840
21 Creative arts and design,Postgraduate (taught),Part-time,England,Female,2019/20,1135
21 Creative arts and design,Postgraduate (taught),Part-time,England,Male,2019/20,665
21 Creative arts and design,Postgraduate (taught),Part-time,England,Other,2019/20,5
21 Creative arts and design,Postgraduate (taught),Part-time,England,Total,2019/20,1810
21 Creative arts and design,Postgraduate (taught),All,Northern Ireland,Female,2019/20,70
21 Creative arts and design,Postgraduate (taught),All,Northern Ireland,Male,2019/20,25
21 Creative arts and design,Postgraduate (taught),All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (taught),All,Northern Ireland,Total,2019/20,95
21 Creative arts and design,Postgraduate (taught),Full-time,Northern Ireland,Female,2019/20,55
21 Creative arts and design,Postgraduate (taught),Full-time,Northern Ireland,Male,2019/20,20
21 Creative arts and design,Postgraduate (taught),Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (taught),Full-time,Northern Ireland,Total,2019/20,75
21 Creative arts and design,Postgraduate (taught),Part-time,Northern Ireland,Female,2019/20,15
21 Creative arts and design,Postgraduate (taught),Part-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,Postgraduate (taught),Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Postgraduate (taught),Part-time,Northern Ireland,Total,2019/20,15
21 Creative arts and design,Postgraduate (taught),All,Scotland,Female,2019/20,680
21 Creative arts and design,Postgraduate (taught),All,Scotland,Male,2019/20,335
21 Creative arts and design,Postgraduate (taught),All,Scotland,Other,2019/20,10
21 Creative arts and design,Postgraduate (taught),All,Scotland,Total,2019/20,1025
21 Creative arts and design,Postgraduate (taught),Full-time,Scotland,Female,2019/20,640
21 Creative arts and design,Postgraduate (taught),Full-time,Scotland,Male,2019/20,315
21 Creative arts and design,Postgraduate (taught),Full-time,Scotland,Other,2019/20,5
21 Creative arts and design,Postgraduate (taught),Full-time,Scotland,Total,2019/20,960
21 Creative arts and design,Postgraduate (taught),Part-time,Scotland,Female,2019/20,40
21 Creative arts and design,Postgraduate (taught),Part-time,Scotland,Male,2019/20,25
21 Creative arts and design,Postgraduate (taught),Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,Postgraduate (taught),Part-time,Scotland,Total,2019/20,65
21 Creative arts and design,Postgraduate (taught),All,Wales,Female,2019/20,305
21 Creative arts and design,Postgraduate (taught),All,Wales,Male,2019/20,175
21 Creative arts and design,Postgraduate (taught),All,Wales,Other,2019/20,5
21 Creative arts and design,Postgraduate (taught),All,Wales,Total,2019/20,485
21 Creative arts and design,Postgraduate (taught),Full-time,Wales,Female,2019/20,205
21 Creative arts and design,Postgraduate (taught),Full-time,Wales,Male,2019/20,135
21 Creative arts and design,Postgraduate (taught),Full-time,Wales,Other,2019/20,0
21 Creative arts and design,Postgraduate (taught),Full-time,Wales,Total,2019/20,340
21 Creative arts and design,Postgraduate (taught),Part-time,Wales,Female,2019/20,100
21 Creative arts and design,Postgraduate (taught),Part-time,Wales,Male,2019/20,40
21 Creative arts and design,Postgraduate (taught),Part-time,Wales,Other,2019/20,5
21 Creative arts and design,Postgraduate (taught),Part-time,Wales,Total,2019/20,140
21 Creative arts and design,All postgraduate,All,All,Female,2019/20,9270
21 Creative arts and design,All postgraduate,All,All,Male,2019/20,4655
21 Creative arts and design,All postgraduate,All,All,Other,2019/20,50
21 Creative arts and design,All postgraduate,All,All,Total,2019/20,13980
21 Creative arts and design,All postgraduate,Full-time,All,Female,2019/20,7880
21 Creative arts and design,All postgraduate,Full-time,All,Male,2019/20,3820
21 Creative arts and design,All postgraduate,Full-time,All,Other,2019/20,40
21 Creative arts and design,All postgraduate,Full-time,All,Total,2019/20,11745
21 Creative arts and design,All postgraduate,Part-time,All,Female,2019/20,1395
21 Creative arts and design,All postgraduate,Part-time,All,Male,2019/20,835
21 Creative arts and design,All postgraduate,Part-time,All,Other,2019/20,10
21 Creative arts and design,All postgraduate,Part-time,All,Total,2019/20,2235
21 Creative arts and design,All postgraduate,All,England,Female,2019/20,8165
21 Creative arts and design,All postgraduate,All,England,Male,2019/20,4075
21 Creative arts and design,All postgraduate,All,England,Other,2019/20,40
21 Creative arts and design,All postgraduate,All,England,Total,2019/20,12280
21 Creative arts and design,All postgraduate,Full-time,England,Female,2019/20,6940
21 Creative arts and design,All postgraduate,Full-time,England,Male,2019/20,3315
21 Creative arts and design,All postgraduate,Full-time,England,Other,2019/20,35
21 Creative arts and design,All postgraduate,Full-time,England,Total,2019/20,10285
21 Creative arts and design,All postgraduate,Part-time,England,Female,2019/20,1230
21 Creative arts and design,All postgraduate,Part-time,England,Male,2019/20,760
21 Creative arts and design,All postgraduate,Part-time,England,Other,2019/20,5
21 Creative arts and design,All postgraduate,Part-time,England,Total,2019/20,1995
21 Creative arts and design,All postgraduate,All,Northern Ireland,Female,2019/20,70
21 Creative arts and design,All postgraduate,All,Northern Ireland,Male,2019/20,30
21 Creative arts and design,All postgraduate,All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All postgraduate,All,Northern Ireland,Total,2019/20,100
21 Creative arts and design,All postgraduate,Full-time,Northern Ireland,Female,2019/20,55
21 Creative arts and design,All postgraduate,Full-time,Northern Ireland,Male,2019/20,25
21 Creative arts and design,All postgraduate,Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All postgraduate,Full-time,Northern Ireland,Total,2019/20,80
21 Creative arts and design,All postgraduate,Part-time,Northern Ireland,Female,2019/20,15
21 Creative arts and design,All postgraduate,Part-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,All postgraduate,Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All postgraduate,Part-time,Northern Ireland,Total,2019/20,20
21 Creative arts and design,All postgraduate,All,Scotland,Female,2019/20,715
21 Creative arts and design,All postgraduate,All,Scotland,Male,2019/20,360
21 Creative arts and design,All postgraduate,All,Scotland,Other,2019/20,10
21 Creative arts and design,All postgraduate,All,Scotland,Total,2019/20,1085
21 Creative arts and design,All postgraduate,Full-time,Scotland,Female,2019/20,670
21 Creative arts and design,All postgraduate,Full-time,Scotland,Male,2019/20,335
21 Creative arts and design,All postgraduate,Full-time,Scotland,Other,2019/20,5
21 Creative arts and design,All postgraduate,Full-time,Scotland,Total,2019/20,1010
21 Creative arts and design,All postgraduate,Part-time,Scotland,Female,2019/20,45
21 Creative arts and design,All postgraduate,Part-time,Scotland,Male,2019/20,30
21 Creative arts and design,All postgraduate,Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,All postgraduate,Part-time,Scotland,Total,2019/20,75
21 Creative arts and design,All postgraduate,All,Wales,Female,2019/20,320
21 Creative arts and design,All postgraduate,All,Wales,Male,2019/20,190
21 Creative arts and design,All postgraduate,All,Wales,Other,2019/20,5
21 Creative arts and design,All postgraduate,All,Wales,Total,2019/20,515
21 Creative arts and design,All postgraduate,Full-time,Wales,Female,2019/20,215
21 Creative arts and design,All postgraduate,Full-time,Wales,Male,2019/20,145
21 Creative arts and design,All postgraduate,Full-time,Wales,Other,2019/20,0
21 Creative arts and design,All postgraduate,Full-time,Wales,Total,2019/20,365
21 Creative arts and design,All postgraduate,Part-time,Wales,Female,2019/20,105
21 Creative arts and design,All postgraduate,Part-time,Wales,Male,2019/20,45
21 Creative arts and design,All postgraduate,Part-time,Wales,Other,2019/20,5
21 Creative arts and design,All postgraduate,Part-time,Wales,Total,2019/20,150
21 Creative arts and design,First degree,All,All,Female,2019/20,26990
21 Creative arts and design,First degree,All,All,Male,2019/20,14750
21 Creative arts and design,First degree,All,All,Other,2019/20,95
21 Creative arts and design,First degree,All,All,Total,2019/20,41835
21 Creative arts and design,First degree,Full-time,All,Female,2019/20,26665
21 Creative arts and design,First degree,Full-time,All,Male,2019/20,14545
21 Creative arts and design,First degree,Full-time,All,Other,2019/20,95
21 Creative arts and design,First degree,Full-time,All,Total,2019/20,41305
21 Creative arts and design,First degree,Part-time,All,Female,2019/20,325
21 Creative arts and design,First degree,Part-time,All,Male,2019/20,205
21 Creative arts and design,First degree,Part-time,All,Other,2019/20,0
21 Creative arts and design,First degree,Part-time,All,Total,2019/20,530
21 Creative arts and design,First degree,All,England,Female,2019/20,24130
21 Creative arts and design,First degree,All,England,Male,2019/20,13280
21 Creative arts and design,First degree,All,England,Other,2019/20,80
21 Creative arts and design,First degree,All,England,Total,2019/20,37490
21 Creative arts and design,First degree,Full-time,England,Female,2019/20,23835
21 Creative arts and design,First degree,Full-time,England,Male,2019/20,13090
21 Creative arts and design,First degree,Full-time,England,Other,2019/20,80
21 Creative arts and design,First degree,Full-time,England,Total,2019/20,37000
21 Creative arts and design,First degree,Part-time,England,Female,2019/20,295
21 Creative arts and design,First degree,Part-time,England,Male,2019/20,190
21 Creative arts and design,First degree,Part-time,England,Other,2019/20,0
21 Creative arts and design,First degree,Part-time,England,Total,2019/20,485
21 Creative arts and design,First degree,All,Northern Ireland,Female,2019/20,310
21 Creative arts and design,First degree,All,Northern Ireland,Male,2019/20,150
21 Creative arts and design,First degree,All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,First degree,All,Northern Ireland,Total,2019/20,460
21 Creative arts and design,First degree,Full-time,Northern Ireland,Female,2019/20,305
21 Creative arts and design,First degree,Full-time,Northern Ireland,Male,2019/20,150
21 Creative arts and design,First degree,Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,First degree,Full-time,Northern Ireland,Total,2019/20,455
21 Creative arts and design,First degree,Part-time,Northern Ireland,Female,2019/20,5
21 Creative arts and design,First degree,Part-time,Northern Ireland,Male,2019/20,0
21 Creative arts and design,First degree,Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,First degree,Part-time,Northern Ireland,Total,2019/20,5
21 Creative arts and design,First degree,All,Scotland,Female,2019/20,1510
21 Creative arts and design,First degree,All,Scotland,Male,2019/20,690
21 Creative arts and design,First degree,All,Scotland,Other,2019/20,10
21 Creative arts and design,First degree,All,Scotland,Total,2019/20,2210
21 Creative arts and design,First degree,Full-time,Scotland,Female,2019/20,1505
21 Creative arts and design,First degree,Full-time,Scotland,Male,2019/20,685
21 Creative arts and design,First degree,Full-time,Scotland,Other,2019/20,10
21 Creative arts and design,First degree,Full-time,Scotland,Total,2019/20,2200
21 Creative arts and design,First degree,Part-time,Scotland,Female,2019/20,10
21 Creative arts and design,First degree,Part-time,Scotland,Male,2019/20,5
21 Creative arts and design,First degree,Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,First degree,Part-time,Scotland,Total,2019/20,15
21 Creative arts and design,First degree,All,Wales,Female,2019/20,1035
21 Creative arts and design,First degree,All,Wales,Male,2019/20,630
21 Creative arts and design,First degree,All,Wales,Other,2019/20,5
21 Creative arts and design,First degree,All,Wales,Total,2019/20,1675
21 Creative arts and design,First degree,Full-time,Wales,Female,2019/20,1020
21 Creative arts and design,First degree,Full-time,Wales,Male,2019/20,620
21 Creative arts and design,First degree,Full-time,Wales,Other,2019/20,5
21 Creative arts and design,First degree,Full-time,Wales,Total,2019/20,1650
21 Creative arts and design,First degree,Part-time,Wales,Female,2019/20,15
21 Creative arts and design,First degree,Part-time,Wales,Male,2019/20,10
21 Creative arts and design,First degree,Part-time,Wales,Other,2019/20,0
21 Creative arts and design,First degree,Part-time,Wales,Total,2019/20,25
21 Creative arts and design,Other undergraduate,All,All,Female,2019/20,3780
21 Creative arts and design,Other undergraduate,All,All,Male,2019/20,2375
21 Creative arts and design,Other undergraduate,All,All,Other,2019/20,25
21 Creative arts and design,Other undergraduate,All,All,Total,2019/20,6180
21 Creative arts and design,Other undergraduate,Full-time,All,Female,2019/20,3510
21 Creative arts and design,Other undergraduate,Full-time,All,Male,2019/20,2220
21 Creative arts and design,Other undergraduate,Full-time,All,Other,2019/20,20
21 Creative arts and design,Other undergraduate,Full-time,All,Total,2019/20,5750
21 Creative arts and design,Other undergraduate,Part-time,All,Female,2019/20,275
21 Creative arts and design,Other undergraduate,Part-time,All,Male,2019/20,150
21 Creative arts and design,Other undergraduate,Part-time,All,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,All,Total,2019/20,425
21 Creative arts and design,Other undergraduate,All,England,Female,2019/20,3245
21 Creative arts and design,Other undergraduate,All,England,Male,2019/20,2005
21 Creative arts and design,Other undergraduate,All,England,Other,2019/20,20
21 Creative arts and design,Other undergraduate,All,England,Total,2019/20,5270
21 Creative arts and design,Other undergraduate,Full-time,England,Female,2019/20,3005
21 Creative arts and design,Other undergraduate,Full-time,England,Male,2019/20,1880
21 Creative arts and design,Other undergraduate,Full-time,England,Other,2019/20,20
21 Creative arts and design,Other undergraduate,Full-time,England,Total,2019/20,4905
21 Creative arts and design,Other undergraduate,Part-time,England,Female,2019/20,240
21 Creative arts and design,Other undergraduate,Part-time,England,Male,2019/20,125
21 Creative arts and design,Other undergraduate,Part-time,England,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,England,Total,2019/20,365
21 Creative arts and design,Other undergraduate,All,Northern Ireland,Female,2019/20,15
21 Creative arts and design,Other undergraduate,All,Northern Ireland,Male,2019/20,5
21 Creative arts and design,Other undergraduate,All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,All,Northern Ireland,Total,2019/20,20
21 Creative arts and design,Other undergraduate,Full-time,Northern Ireland,Female,2019/20,15
21 Creative arts and design,Other undergraduate,Full-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,Other undergraduate,Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Full-time,Northern Ireland,Total,2019/20,20
21 Creative arts and design,Other undergraduate,Part-time,Northern Ireland,Female,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Northern Ireland,Male,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Northern Ireland,Total,2019/20,0
21 Creative arts and design,Other undergraduate,All,Scotland,Female,2019/20,270
21 Creative arts and design,Other undergraduate,All,Scotland,Male,2019/20,160
21 Creative arts and design,Other undergraduate,All,Scotland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,All,Scotland,Total,2019/20,430
21 Creative arts and design,Other undergraduate,Full-time,Scotland,Female,2019/20,255
21 Creative arts and design,Other undergraduate,Full-time,Scotland,Male,2019/20,135
21 Creative arts and design,Other undergraduate,Full-time,Scotland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Full-time,Scotland,Total,2019/20,390
21 Creative arts and design,Other undergraduate,Part-time,Scotland,Female,2019/20,20
21 Creative arts and design,Other undergraduate,Part-time,Scotland,Male,2019/20,25
21 Creative arts and design,Other undergraduate,Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Scotland,Total,2019/20,45
21 Creative arts and design,Other undergraduate,All,Wales,Female,2019/20,255
21 Creative arts and design,Other undergraduate,All,Wales,Male,2019/20,205
21 Creative arts and design,Other undergraduate,All,Wales,Other,2019/20,0
21 Creative arts and design,Other undergraduate,All,Wales,Total,2019/20,460
21 Creative arts and design,Other undergraduate,Full-time,Wales,Female,2019/20,240
21 Creative arts and design,Other undergraduate,Full-time,Wales,Male,2019/20,200
21 Creative arts and design,Other undergraduate,Full-time,Wales,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Full-time,Wales,Total,2019/20,440
21 Creative arts and design,Other undergraduate,Part-time,Wales,Female,2019/20,15
21 Creative arts and design,Other undergraduate,Part-time,Wales,Male,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Wales,Other,2019/20,0
21 Creative arts and design,Other undergraduate,Part-time,Wales,Total,2019/20,15
21 Creative arts and design,All undergraduate,All,All,Female,2019/20,30770
21 Creative arts and design,All undergraduate,All,All,Male,2019/20,17120
21 Creative arts and design,All undergraduate,All,All,Other,2019/20,120
21 Creative arts and design,All undergraduate,All,All,Total,2019/20,48015
21 Creative arts and design,All undergraduate,Full-time,All,Female,2019/20,30175
21 Creative arts and design,All undergraduate,Full-time,All,Male,2019/20,16765
21 Creative arts and design,All undergraduate,Full-time,All,Other,2019/20,120
21 Creative arts and design,All undergraduate,Full-time,All,Total,2019/20,47055
21 Creative arts and design,All undergraduate,Part-time,All,Female,2019/20,595
21 Creative arts and design,All undergraduate,Part-time,All,Male,2019/20,360
21 Creative arts and design,All undergraduate,Part-time,All,Other,2019/20,0
21 Creative arts and design,All undergraduate,Part-time,All,Total,2019/20,955
21 Creative arts and design,All undergraduate,All,England,Female,2019/20,27375
21 Creative arts and design,All undergraduate,All,England,Male,2019/20,15285
21 Creative arts and design,All undergraduate,All,England,Other,2019/20,100
21 Creative arts and design,All undergraduate,All,England,Total,2019/20,42760
21 Creative arts and design,All undergraduate,Full-time,England,Female,2019/20,26840
21 Creative arts and design,All undergraduate,Full-time,England,Male,2019/20,14970
21 Creative arts and design,All undergraduate,Full-time,England,Other,2019/20,100
21 Creative arts and design,All undergraduate,Full-time,England,Total,2019/20,41905
21 Creative arts and design,All undergraduate,Part-time,England,Female,2019/20,540
21 Creative arts and design,All undergraduate,Part-time,England,Male,2019/20,315
21 Creative arts and design,All undergraduate,Part-time,England,Other,2019/20,0
21 Creative arts and design,All undergraduate,Part-time,England,Total,2019/20,850
21 Creative arts and design,All undergraduate,All,Northern Ireland,Female,2019/20,325
21 Creative arts and design,All undergraduate,All,Northern Ireland,Male,2019/20,155
21 Creative arts and design,All undergraduate,All,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All undergraduate,All,Northern Ireland,Total,2019/20,480
21 Creative arts and design,All undergraduate,Full-time,Northern Ireland,Female,2019/20,320
21 Creative arts and design,All undergraduate,Full-time,Northern Ireland,Male,2019/20,155
21 Creative arts and design,All undergraduate,Full-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All undergraduate,Full-time,Northern Ireland,Total,2019/20,475
21 Creative arts and design,All undergraduate,Part-time,Northern Ireland,Female,2019/20,5
21 Creative arts and design,All undergraduate,Part-time,Northern Ireland,Male,2019/20,5
21 Creative arts and design,All undergraduate,Part-time,Northern Ireland,Other,2019/20,0
21 Creative arts and design,All undergraduate,Part-time,Northern Ireland,Total,2019/20,5
21 Creative arts and design,All undergraduate,All,Scotland,Female,2019/20,1785
21 Creative arts and design,All undergraduate,All,Scotland,Male,2019/20,845
21 Creative arts and design,All undergraduate,All,Scotland,Other,2019/20,15
21 Creative arts and design,All undergraduate,All,Scotland,Total,2019/20,2645
21 Creative arts and design,All undergraduate,Full-time,Scotland,Female,2019/20,1755
21 Creative arts and design,All undergraduate,Full-time,Scotland,Male,2019/20,820
21 Creative arts and design,All undergraduate,Full-time,Scotland,Other,2019/20,15
21 Creative arts and design,All undergraduate,Full-time,Scotland,Total,2019/20,2585
21 Creative arts and design,All undergraduate,Part-time,Scotland,Female,2019/20,30
21 Creative arts and design,All undergraduate,Part-time,Scotland,Male,2019/20,30
21 Creative arts and design,All undergraduate,Part-time,Scotland,Other,2019/20,0
21 Creative arts and design,All undergraduate,Part-time,Scotland,Total,2019/20,60
21 Creative arts and design,All undergraduate,All,Wales,Female,2019/20,1290
