,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
1004,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Non-European Union,5
1005,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total Non-UK,40
1006,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Not known,0
1007,10007849.0,Abertay University,Scotland,Scotland,Other years,All,Part-time,2016/17,Total,Total,255
21294,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Sex,Female,9815
21295,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Sex,Male,5570
21296,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Sex,Other,0
21297,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,England,2180
21298,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Scotland,10155
21299,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Wales,75
21300,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Northern Ireland,720
21301,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Other UK,25
21302,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Total UK  ,13155
21303,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Other European Union,915
21304,10007852.0,The University of Dundee,Scotland,Scotland,All,All,All,2016/17,Domicile,Non-European Union,1320
